datetime,symbol,direction,entry,sl,tp,result,pnl_zar,r_achieved,equity,session,atr,sl_pips,score
2026-05-14 13:30:00,NAS100,BUY,29515.0,29478.6524,29624.0428,LOSS,-5.0,-1.0,495.0,NYOPEN,145.3903,29478.6524,2
2026-05-18 14:30:00,NAS100,BUY,29122.2109,28972.9355,29678.8926,LOSS,-4.95,-1.0,490.05,NYCLOSE,159.0024,28972.9355,2
2026-05-18 15:30:00,NAS100,BUY,28778.8066,28736.6012,28905.4228,WIN,14.7,3.0,504.75,NYOPEN,168.8216,28736.6012,2
2026-05-19 13:30:00,NAS100,BUY,28994.2188,28718.9492,29678.8926,LOSS,-5.05,-1.0,499.7,NYCLOSE,188.1578,28718.9492,-2
2026-05-20 19:30:00,NAS100,BUY,29297.8516,29257.4247,29419.1321,LOSS,-5.0,-1.0,494.71,NYCLOSE,161.7074,29257.4247,3
