date,symbol,type,entry,sl_pts,tp_pts,atr_sl,outcome,pnl_r,equity,reasons
2026-01-15 18:30:00,US30,BUY,49524.56,80.5,241.5,161.0,WIN,33.01,5667.32,bull_trend|above_vwap|orb_bull
2026-01-15 19:30:00,US30,BUY,49409.47,80.4,241.1,160.7,LOSS,-11.33,5610.65,bull_trend|above_vwap
2026-01-16 15:30:00,US30,BUY,49428.23,80.1,240.2,160.1,LOSS,-11.22,5554.54,bull_trend|above_vwap
2026-01-16 16:30:00,US30,BUY,49405.04,73.4,220.3,146.9,LOSS,-11.11,5499.0,bull_trend|above_vwap
2026-01-16 17:30:00,US30,BUY,49480.71,72.9,218.7,145.8,LOSS,-11.0,5444.01,bull_trend|above_vwap
2026-01-16 18:30:00,US30,BUY,49407.58,73.0,218.9,145.9,LOSS,-10.89,5389.57,bull_trend|above_vwap
2026-01-16 19:30:00,US30,BUY,49364.84,72.0,216.1,144.1,WIN,32.34,5551.26,above_vwap
2026-01-20 17:30:00,US30,SELL,48688.35,89.1,267.4,178.2,LOSS,-11.1,5495.74,bear_trend|below_vwap|orb_bear
2026-01-20 18:30:00,US30,SELL,48510.62,94.5,283.4,188.9,WIN,32.97,5660.62,bear_trend|below_vwap|orb_bear|bos_bear
2026-01-20 19:30:00,US30,SELL,48518.02,93.5,280.5,187.0,LOSS,-11.32,5604.01,bear_trend|below_vwap|orb_bear
2026-01-21 18:30:00,US30,BUY,49058.12,116.4,349.2,232.8,LOSS,-11.21,5547.97,above_vwap|orb_bull
2026-01-21 19:30:00,US30,BUY,49078.61,121.1,363.4,242.3,LOSS,-11.1,5492.49,above_vwap|orb_bull
2026-01-22 15:30:00,US30,BUY,49483.19,109.3,327.8,218.5,LOSS,-10.98,5437.57,above_vwap
2026-01-22 16:30:00,US30,BUY,49534.17,108.4,325.2,216.8,WIN,32.63,5600.69,above_vwap
2026-01-22 17:30:00,US30,BUY,49495.22,108.9,326.6,217.7,LOSS,-11.2,5544.69,bull_trend|above_vwap|orb_bull
