date,symbol,type,entry,sl_pts,tp_pts,atr_sl,outcome,pnl_r,equity,reasons
2026-05-07 15:30:00,NAS100,BUY,28622.62,58.3,174.9,116.6,WIN,158.33,27179.13,bull_trend|above_vwap
2026-05-07 16:30:00,NAS100,BUY,28488.29,64.0,192.1,128.1,LOSS,-54.36,26907.34,bull_trend|above_vwap
2026-05-07 17:30:00,NAS100,BUY,28534.38,66.6,199.9,133.3,WIN,161.44,27714.56,bull_trend|above_vwap
2026-05-07 18:30:00,NAS100,BUY,28489.51,69.1,207.2,138.2,LOSS,-55.43,27437.41,bull_trend|above_vwap
2026-05-07 19:30:00,NAS100,BUY,28558.4,70.5,211.6,141.0,LOSS,-54.87,27163.04,bull_trend|above_vwap
2026-05-08 15:30:00,NAS100,BUY,29128.04,73.3,220.0,146.7,LOSS,-54.33,26891.41,bull_trend|above_vwap|orb_bull|bos_bull
2026-05-08 16:30:00,NAS100,BUY,29195.5,75.2,225.5,150.3,WIN,161.35,27698.15,bull_trend|above_vwap|orb_bull|bos_bull
2026-05-08 17:30:00,NAS100,BUY,29174.05,75.5,226.6,151.1,LOSS,-55.4,27421.17,bull_trend|above_vwap|orb_bull
2026-05-08 18:30:00,NAS100,BUY,29146.5,75.5,226.4,150.9,LOSS,-54.84,27146.96,bull_trend|above_vwap
2026-05-08 19:30:00,NAS100,BUY,29227.8,76.4,229.1,152.7,WIN,162.88,27961.37,bull_trend|above_vwap|orb_bull|bos_bull
2026-05-11 15:30:00,NAS100,BUY,29357.2,70.8,212.5,141.7,LOSS,-55.92,27681.75,bull_trend|above_vwap|orb_bull|bos_bull
2026-05-11 16:30:00,NAS100,BUY,29330.33,66.7,200.1,133.4,LOSS,-55.36,27404.94,bull_trend|above_vwap
2026-05-11 17:30:00,NAS100,BUY,29363.84,63.8,191.5,127.7,WIN,164.43,28227.08,bull_trend|above_vwap
2026-05-11 18:30:00,NAS100,BUY,29266.87,63.9,191.7,127.8,LOSS,-56.45,27944.81,bull_trend|above_vwap
2026-05-11 19:30:00,NAS100,BUY,29318.77,62.5,187.6,125.1,LOSS,-55.89,27665.37,bull_trend|above_vwap
2026-05-13 15:30:00,NAS100,BUY,29332.09,74.9,224.8,149.9,LOSS,-55.33,27388.71,bull_trend|above_vwap|orb_bull
2026-05-13 16:30:00,NAS100,BUY,29378.87,74.1,222.3,148.2,LOSS,-54.78,27114.82,bull_trend|above_vwap|orb_bull|bos_bull
2026-05-13 17:30:00,NAS100,BUY,29438.85,76.8,230.5,153.7,WIN,162.69,27928.27,bull_trend|above_vwap|orb_bull|bos_bull
2026-05-13 18:30:00,NAS100,BUY,29413.35,76.1,228.4,152.3,LOSS,-55.86,27648.99,bull_trend|above_vwap
2026-05-13 19:30:00,NAS100,BUY,29368.0,77.1,231.4,154.3,WIN,165.89,28478.46,bull_trend|above_vwap
2026-05-14 15:30:00,NAS100,BUY,29623.29,66.7,200.2,133.4,LOSS,-56.96,28193.67,bull_trend|above_vwap|orb_bull
2026-05-14 16:30:00,NAS100,BUY,29540.41,65.1,195.3,130.2,LOSS,-56.39,27911.73,bull_trend|above_vwap
2026-05-14 17:30:00,NAS100,BUY,29571.86,64.6,193.7,129.1,WIN,167.47,28749.09,bull_trend|above_vwap
2026-05-14 18:30:00,NAS100,BUY,29592.1,63.2,189.5,126.4,LOSS,-57.5,28461.6,bull_trend|above_vwap
2026-05-14 19:30:00,NAS100,BUY,29580.58,60.0,180.0,120.0,WIN,170.77,29315.44,bull_trend|above_vwap
2026-05-19 16:30:00,NAS100,BUY,28991.39,99.2,297.5,198.3,WIN,175.89,30194.91,bull_trend|below_vwap|orb_bull
2026-05-20 15:30:00,NAS100,BUY,29145.42,101.7,305.0,203.3,WIN,181.17,31100.75,bull_trend|above_vwap
2026-05-20 16:30:00,NAS100,BUY,29203.91,97.4,292.1,194.7,WIN,186.6,32033.78,bull_trend|above_vwap
